bin,bin_lower,bin_upper,bin_center,predicted_prob,actual_prob,count,gap,dataset,method,experiment,seed,calibrator
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
5,0.5,0.6000000000000001,0.55,0.5,0.0,332,0.5,UCI_CTG_NSPbin,pysr,base,21,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
7,0.7000000000000001,0.8,0.75,0.7310597175379665,1.0,94,0.2689402824620335,UCI_CTG_NSPbin,pysr,base,21,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,pysr,base,21,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
7,0.7000000000000001,0.8,0.75,0.7204036801996818,0.22065727699530516,426,0.4997464032043767,UCI_CTG_NSPbin,rils_rols,base,3,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,none
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
2,0.2,0.30000000000000004,0.25,0.22065727699530513,0.22065727699530516,426,2.7755575615628914e-17,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
5,0.5,0.6000000000000001,0.55,0.5,0.0,332,0.5,UCI_CTG_NSPbin,pysr,base,2,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
7,0.7000000000000001,0.8,0.75,0.7310585687784921,1.0,94,0.26894143122150793,UCI_CTG_NSPbin,pysr,base,2,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,pysr,base,2,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
5,0.5,0.6000000000000001,0.55,0.5,0.0,332,0.5,UCI_CTG_NSPbin,lgo,base,1,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
7,0.7000000000000001,0.8,0.75,0.7310585786300047,1.0,94,0.2689414213699953,UCI_CTG_NSPbin,lgo,base,1,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,lgo,base,1,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
5,0.5,0.6000000000000001,0.55,0.5,0.0,332,0.5,UCI_CTG_NSPbin,lgo,base,5,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
7,0.7000000000000001,0.8,0.75,0.7310585786300047,1.0,94,0.2689414213699953,UCI_CTG_NSPbin,lgo,base,5,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,lgo,base,5,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3
